scenario_seed,scenario_hash,generated,completed,abandoned,unfinished,unique_denied,waiting_pm,onboard_pm,crowding_pm,active_bus_min,deadhead_bus_min,excessive_wait_pm,first_denied_count,abandoned_count,mission_changes,terminal_unfinished_count,total_cost,total_cost_core,reward,mean_wait,p95_wait,completed_share,abandoned_share,unfinished_share,unique_denied_share,excessive_wait_share,censored_share,worst_route_id,worst_route_mean_wait,mean_headway_s,p95_headway_s,gap20_count,headway_target_violations,reserve_dispatches,reassigns,short_turns,recalls,decisions,wall_s,scenario_index,method,model_seed,split
11347235843420216387,0f3b6a72dc740340d0c84719de35833200f807cf146496f6ded6ba78fa3e88a3,1562,1562,0,0,0,11706.0,10098.0,0.0,2160.0,0.0,97.5,0,0,0,0,15408.0,15408.0,-5.136000000000002,7.494238156209987,15.0,1.0,0.0,0.0,0.0,0.058898847631242,0.0,2,7.77328431372549,914.0,990.0,0,11,0,0,0,0,120,0.415048853999906,45,fixed,,validation
7797958389276775086,56c8422be4fdf6a551e1b5dac9bb6db2afe94b618780716222b9e9352dcd76e1,1719,1719,0,0,0,13028.0,11033.5,19.5,2160.0,0.0,177.0,0,0,0,0,17053.125,17053.125,-5.684375000000003,7.5788248981966255,15.0,1.0,0.0,0.0,0.0,0.0657358929610238,0.0,1,7.777894736842105,915.0,962.9999999999998,2,8,0,0,0,0,120,0.4251957499982381,46,fixed,,validation
5728114968527056975,b7f8ec03014d68bb7760a5e4db42e9f07d6155141115377542d409c1155ab0e3,1724,1724,0,0,0,12313.0,11070.5,0.0,2160.0,0.0,90.0,0,0,0,0,16250.625,16250.625,-5.416875000000001,7.142111368909513,14.924999999999956,1.0,0.0,0.0,0.0,0.0504640371229698,0.0,0,7.237485448195576,914.3333333333334,960.0,0,12,0,0,0,0,120,0.4454213540011551,47,fixed,,validation
12779048670444388056,10a1b6974d54c9f329a42ffbc26ea20233d4d7049f7d7a47d02c2766e1bfd4e0,1685,1685,0,0,0,12410.5,10711.0,0.0,2160.0,0.0,121.0,0,0,0,0,16289.25,16289.25,-5.429750000000006,7.365281899109792,15.0,1.0,0.0,0.0,0.0,0.058753709198813,0.0,0,7.639973082099596,914.0,960.0,2,8,0,0,0,0,120,0.4337730469997041,48,fixed,,validation
7443001247269656638,1ce5460f14e928dc3f716c01b1e09f21d97d16a03df68d3af64aa912ba5c1db1,1831,1831,0,0,0,13669.5,11869.0,7.0,2160.0,0.0,112.5,0,0,0,0,17832.75,17832.75,-5.944249999999998,7.4655925723648275,15.0,1.0,0.0,0.0,0.0,0.0535226652102676,0.0,2,7.615654205607477,914.3333333333334,976.5,0,11,0,0,0,0,120,0.4788770819977799,49,fixed,,validation
15252049609767623705,0f6b032639fb639cec825881d9cdc786253708dfb7909eef4a37c3f914fe89b1,1758,1758,0,0,0,13132.5,11270.0,28.0,2160.0,0.0,94.0,0,0,0,0,17138.0,17138.0,-5.71266666666667,7.470136518771331,15.0,1.0,0.0,0.0,0.0,0.0517633674630261,0.0,2,7.527906976744186,915.6666666666666,1006.5,1,9,0,0,0,0,120,0.4632383999996818,50,fixed,,validation
11218840620931775516,7566a3a24bbb19689873437395c9c2cf52118a3b216ceba3a1bfd1a7332e210d,1515,1515,0,0,0,11331.5,9625.5,0.0,2160.0,0.0,106.5,0,0,0,0,14924.375,14924.375,-4.974791666666668,7.479537953795379,15.0,1.0,0.0,0.0,0.0,0.0613861386138613,0.0,1,7.569860279441118,915.0,992.9999999999998,2,9,0,0,0,0,120,0.3971481209991907,51,fixed,,validation
12776053817811108770,3f257f5915da9cede6412906290498157c457b9fc687d926276a2436322ef8ae,1713,1713,0,0,0,12650.0,10819.5,0.0,2160.0,0.0,115.0,0,0,0,0,16549.875,16549.875,-5.516625000000004,7.384705195563339,15.0,1.0,0.0,0.0,0.0,0.0548744892002335,0.0,0,7.408239700374532,914.3333333333334,992.9999999999998,1,9,0,0,0,0,120,0.4593684889987344,52,fixed,,validation
9406443979133441278,81bb454b89af18ebd94293320e2658af4ed400738ce1dbd926b9e9001d5ae728,1506,1506,0,0,0,11433.5,9489.5,0.0,2160.0,0.0,135.0,0,0,0,0,15020.875,15020.875,-5.006958333333335,7.591965471447543,15.0,1.0,0.0,0.0,0.0,0.0564409030544488,0.0,0,7.828767123287672,913.6666666666666,962.9999999999998,1,7,0,0,0,0,120,0.4012851420011429,53,fixed,,validation
4155266813093080314,2fffea7d912f3b1c67b727c236cdb8137400c93f718b2a3baf09c64f0e6c9059,1540,1540,0,0,0,11335.5,9758.0,0.0,2160.0,0.0,123.5,0,0,0,0,14978.5,14978.5,-4.992833333333336,7.360714285714286,15.0,1.0,0.0,0.0,0.0,0.0577922077922077,0.0,1,7.421810699588478,914.0,946.5,2,11,0,0,0,0,120,0.4061900340020656,54,fixed,,validation
