arm,split,scenario_seed,arm_cost,core_cost,delta
no_reassign,test_id,9922750006528345805,12711.708333333334,12755.708333333334,-44.0
no_reassign,test_id,9941373977592655331,13083.041666666666,12992.208333333334,90.83333333333212
no_reassign,test_id,9957213556790767280,12451.041666666666,12456.75,-5.70833333333394
no_reassign,test_id,10078900020708180266,11735.5,11683.166666666666,52.33333333333394
no_reassign,test_id,10150212746785346502,13064.458333333334,12876.291666666666,188.16666666666788
no_reassign,test_id,10161654729286565571,12848.5,12839.666666666666,8.83333333333394
no_reassign,test_id,10176033012890366237,13521.583333333334,13447.125,74.45833333333394
no_reassign,test_id,10197429769645740610,13511.791666666666,13589.916666666666,-78.125
no_reassign,test_id,10200786836776640431,13903.875,13569.958333333334,333.91666666666606
no_reassign,test_id,10267360690709713779,12435.375,12243.916666666666,191.45833333333394
no_reassign,test_id,10360803806888846040,12930.916666666666,12950.75,-19.83333333333394
no_reassign,test_id,10422041190842865092,12897.291666666666,12823.166666666666,74.125
no_reassign,test_id,10445096070652037453,12246.75,12080.083333333334,166.66666666666606
no_reassign,test_id,10469615561613477042,12373.958333333334,12368.958333333334,5.0
no_reassign,test_id,10484777569877440870,13558.25,13388.458333333334,169.79166666666606
no_reassign,test_id,10571077826792884053,12776.083333333334,12457.291666666666,318.7916666666679
no_reassign,test_id,10755638076351078490,12507.25,12536.583333333334,-29.33333333333394
no_reassign,test_id,10759708693088837287,12595.958333333334,12355.791666666666,240.16666666666788
no_reassign,test_id,10864103757432464804,13069.625,13075.166666666666,-5.54166666666606
no_reassign,test_id,10961574133042004010,12660.791666666666,12666.25,-5.45833333333394
no_reassign,test_id,11113555298416842333,13229.625,13166.708333333334,62.91666666666606
no_reassign,test_id,11245463235552385362,13234.958333333334,13258.291666666666,-23.33333333333212
no_reassign,test_id,11289430972529084417,13543.458333333334,13482.791666666666,60.66666666666788
no_reassign,test_id,11386766831760893743,12783.583333333334,12774.541666666666,9.04166666666788
no_reassign,test_id,11418514034977197970,12526.375,12463.75,62.625
